,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,4,4,police,police
4,5,5,pensais,thought
5,6,6,aide,help
6,7,7,demande,request
7,8,8,mois,month
8,9,9,laisser,let
9,10,10,car,because
10,11,12,aucun,no
11,12,14,ville,city
12,13,15,chaque,each
13,14,16,arrivé,come
14,15,17,devrait,should
15,16,19,heures,hours
16,17,20,vont,will
17,18,22,revoir,meet again
18,19,23,aucune,any
19,20,24,place,square
20,21,25,parle,speak
21,22,26,compris,understood
22,23,27,étaient,were
23,24,28,attention,Warning
24,25,29,voici,here is
25,26,30,pourrais,could
26,27,31,affaire,case
27,28,32,donner,give
28,29,33,type,type
29,30,35,donné,given
30,31,36,corps,body
31,32,37,endroit,place
32,33,38,yeux,eyes
33,34,39,façon,way
34,35,40,écoute,listen
35,36,41,dont,whose
36,37,42,trouve,find
37,38,43,perdu,lost
38,39,44,première,first
39,40,45,côté,side
40,41,46,pouvoir,power
41,42,47,vieux,old
42,43,48,sois,be
43,44,49,tiens,here
44,45,50,matin,morning
45,46,51,tellement,so much
46,47,52,enfant,child
47,48,53,point,point
48,49,54,suite,after
49,50,55,pardon,sorry
50,51,56,venez,come
51,52,58,vers,towards
52,53,60,demandé,request
53,54,61,chambre,bedroom
54,55,62,mis,placed
55,56,63,belle,beautiful
56,57,64,droit,law
57,58,66,aujourd'hui,today
58,59,67,mari,husband
59,60,68,cause,cause
60,61,69,enfin,finally
61,62,70,espère,hope
62,63,72,attendez,Wait
63,64,73,parti,left
64,65,74,nouvelle,new
65,66,75,boulot,job
66,67,76,arrêter,Stop
67,68,78,terre,Earth
68,69,79,compte,account
69,70,80,donne,given
70,71,81,loin,far
71,72,84,chérie,sweetheart
72,73,85,gros,large
73,74,86,plutôt,rather
74,75,87,aura,will have
75,76,88,filles,girls
76,77,89,bureau,office
